League,Team,Player,Country,Appearances,URL
2019–20 Cypriot First Division,2019–20 Pafos FC season,Mickaël Panos,France,0,https://en.wikipedia.org/wiki/Micka%C3%ABl_Panos
2019–20 Cypriot First Division,2019–20 Pafos FC season,Vá,Angola,0,https://en.wikipedia.org/wiki/V%C3%A1_(footballer)
2019–20 Cypriot First Division,2019–20 Pafos FC season,Gerasimos Fylaktou,Cyprus,0,https://en.wikipedia.org/wiki/Gerasimos_Fylaktou
2019–20 Cypriot First Division,2019–20 Pafos FC season,Alex Konstantinou,Cyprus,0,https://en.wikipedia.org/wiki/Alex_Konstantinou
2019–20 Cypriot First Division,2019–20 Pafos FC season,Artur Rudko,Ukraine,0,https://en.wikipedia.org/wiki/Artur_Rudko
2019–20 Cypriot First Division,2019–20 Pafos FC season,Giorgos Valerianos,Greece,0,https://en.wikipedia.org/wiki/Giorgos_Valerianos
2019–20 Cypriot First Division,2019–20 Pafos FC season,Sunny,Nigeria,0,https://en.wikipedia.org/wiki/Stephen_Sunday
2019–20 Cypriot First Division,2019–20 Pafos FC season,Nahir Besara,Sweden,0,https://en.wikipedia.org/wiki/Nahir_Besara
2019–20 Cypriot First Division,2019–20 Pafos FC season,Reinis Reinholds,Latvia,0,https://en.wikipedia.org/wiki/Reinis_Reinholds
2019–20 Cypriot First Division,2019–20 Pafos FC season,Brayan Angulo,Colombia,0,https://en.wikipedia.org/wiki/Brayan_Edinson_Angulo_Mosquera
2019–20 Cypriot First Division,2019–20 Pafos FC season,Onni Valakari,Finland,0,https://en.wikipedia.org/wiki/Onni_Valakari
2019–20 Cypriot First Division,2019–20 Pafos FC season,Danny Williams,United_States,Total,"https://en.wikipedia.org/wiki/Danny_Williams_(soccer,_born_1989)"
2019–20 Cypriot First Division,2019–20 Pafos FC season,Paulus Arajuuri,Finland,37,https://en.wikipedia.org/wiki/Paulus_Arajuuri
2019–20 Cypriot First Division,2019–20 Pafos FC season,Jerson Cabral,Cape_Verde,0,https://en.wikipedia.org/wiki/Jerson_Cabral
2019–20 Cypriot First Division,2019–20 Pafos FC season,Bakary Sako,Mali,0,https://en.wikipedia.org/wiki/Bakary_Sako
2019–20 Cypriot First Division,2019–20 Pafos FC season,Cy Goddard,Japan,0,https://en.wikipedia.org/wiki/Cy_Goddard
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Sameh Derbali,Tunisia,0,https://en.wikipedia.org/wiki/Sameh_Derbali
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Iheb Mbarki,Tunisia,0,https://en.wikipedia.org/wiki/Iheb_Mbarki
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Afif Jebali,Tunisia,0,https://en.wikipedia.org/w/index.php?title=Afif_Jebali&action=edit&redlink=1
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Rami Jridi,Tunisia,0,https://en.wikipedia.org/wiki/Rami_Jridi
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Amine Ben Hamida,Tunisia,0,https://en.wikipedia.org/w/index.php?title=Amine_Ben_Hamida&action=edit&redlink=1
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Chamseddine Dhaouadi,Tunisia,0,https://en.wikipedia.org/wiki/Chamseddine_Dhaouadi
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Ilyes Chetti,Algeria,0,https://en.wikipedia.org/wiki/Ilyes_Chetti
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Khalil Chemmam,Tunisia,0,https://en.wikipedia.org/wiki/Khalil_Chemmam
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Mohamed Ali Yacoubi,Tunisia,0,https://en.wikipedia.org/wiki/Mohamed_Ali_Yacoubi
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Malek Charfi,Tunisia,0,https://en.wikipedia.org/w/index.php?title=Malek_Charfi&action=edit&redlink=1
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Mohamed Amine Tougai,Algeria,0,https://en.wikipedia.org/wiki/Mohamed_Amine_Tougai
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Houcine Rabii,Tunisia,0,https://en.wikipedia.org/w/index.php?title=Houcine_Rabii&action=edit&redlink=1
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Fousseny Coulibaly,Ivory_Coast,0,https://en.wikipedia.org/wiki/Fousseny_Coulibaly
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Moez Ben Cherifia,Tunisia,Total,https://en.wikipedia.org/wiki/Moez_Ben_Cherifia
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Abdelkader Bedrane,Algeria,0,https://en.wikipedia.org/wiki/Abdelkader_Bedrane
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Hamdou Elhouni,Libya,0,https://en.wikipedia.org/wiki/Hamdou_Elhouni
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Youssef Mosrati,Tunisia,0,https://en.wikipedia.org/w/index.php?title=Youssef_Mosrati&action=edit&redlink=1
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Kwame Bonsu,Ghana,0,https://en.wikipedia.org/wiki/Kwame_Bonsu
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Mohamed Ali Ben Romdhane,Tunisia,0,https://en.wikipedia.org/wiki/Mohamed_Ali_Ben_Romdhane
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Billel Bensaha,Algeria,0,https://en.wikipedia.org/wiki/Billel_Bensaha
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Ibrahim Ouattara,Ivory_Coast,0,https://en.wikipedia.org/w/index.php?title=Ibrahim_Ouattara&action=edit&redlink=1
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Mohamed Amine Meskini,Tunisia,0,https://en.wikipedia.org/w/index.php?title=Mohamed_Amine_Meskini&action=edit&redlink=1
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Raouf Benguit,Algeria,0,https://en.wikipedia.org/wiki/Raouf_Benguit
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Raed Fedaa,Tunisia,0,https://en.wikipedia.org/w/index.php?title=Raed_Fedaa&action=edit&redlink=1
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Zied Berrima,Tunisia,0,https://en.wikipedia.org/wiki/Zied_Berrima
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Haythem Jouini,Tunisia,0,https://en.wikipedia.org/wiki/Haythem_Jouini
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Junior Lokosa,Nigeria,1,https://en.wikipedia.org/wiki/Junior_Lokosa
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Fedi Ben Choug,Tunisia,0,https://en.wikipedia.org/wiki/Fedi_Ben_Choug
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Anice Badri,Tunisia,Total,https://en.wikipedia.org/wiki/Anice_Badri
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Taha Yassine Khenissi,Tunisia,41,https://en.wikipedia.org/wiki/Taha_Yassine_Khenissi
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Abderrahmane Meziane,Algeria,0,https://en.wikipedia.org/wiki/Abderrahmane_Meziane
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Maher Ben Seghaier,Tunisia,0,https://en.wikipedia.org/w/index.php?title=Maher_Ben_Seghaier&action=edit&redlink=1
